"логин";"Договор";"Номер договора";"Текущий статус";"Текущий статус1";"Тарифный план";"Тип договора";"Подключение id"
"ttk131001207";"974785";"131001207";"Активен";" 0";"Ф/Л Саранск 'Безлимитный', 30Мб, 400 руб.";"ФЛ";"2379021"
"ttk131001208";"974786";"131001208";"Активен";" 0";"Ф/Л Саранск 'ТТК-30', 55Мб, 400 руб.";"ФЛ";"2379011"
"ttk131001066";"974787";"131001066";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай (до 01.07.14)', 45Мб, 400 руб. ";"ФЛ";"2379010"
"ttk131001214";"974788";"131001214";"Активен";" 0";"Ф/Л Саранск 'ТТК-30', 55Мб, 400 руб.";"ФЛ";"2379024"
"ttk131001179";"974789";"131001179";"Активен";" 0";"Ф/Л Саранск 'Безлимитный', 30Мб, 400 руб.";"ФЛ";"2379015"
"ttk131001181";"974790";"131001181";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2379019"
"ttk131001142";"974791";"131001142";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай (до 01.07.14)', 75Мб, 500 руб. ";"ФЛ";"2379018"
"ttk131001193";"974792";"131001193";"Активен";" 0";"Ф/Л Саранск 'Бумбокс-333', 55Мб, 400 руб.";"ФЛ";"2379025"
"ttk131001177";"974793";"131001177";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай', 60Мб, 500 руб.";"ФЛ";"2379023"
"ttk131001183";"974794";"131001183";"Приостановлен системой";" 2";"Ф/Л Саранск 'ТТК-Зажигай', 100Мб, 550 руб. ";"ФЛ";"2379026"
"ttk131001210";"974796";"131001210";"Активен";" 0";"Ф/Л Саранск 'Безлимитный', 30Мб, 400 руб.";"ФЛ";"2377715"
"ttk131001215";"974797";"131001215";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2377627"
"ttk131001212";"974798";"131001212";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай (до 01.07.14)', 45Мб, 400 руб. ";"ФЛ";"2377775"
"ttk131001230";"974799";"131001230";"Приостановлен оператором";" 3";"Ф/Л Саранск  'ТТК-Мечтай (до 01.07.14)', 45Мб, 400 руб. ";"ФЛ";"2379028"
"ttk131001194";"974800";"131001194";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай (до 01.07.14)', 75Мб, 500 руб. ";"ФЛ";"2379017"
"ttk131001209";"974801";"131001209";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай (до 01.07.14)', 45Мб, 400 руб. ";"ФЛ";"2377758"
"ttk131001205";"974802";"131001205";"Активен";" 0";"Ф/Л Саранск 'Безлимитный', 30Мб, 400 руб.";"ФЛ";"2377750"
"ttk131001237";"974804";"131001237";"Активен";" 0";"Ф/Л Саранск 'ТТК-Зажигай', 100Мб, 550 руб. ";"ФЛ";"2379007"
"ttk131001178";"974806";"131001178";"Активен";" 0";"Ф/Л Саранск 'ТТК-Зажигай', 100Мб, 550 руб. ";"ФЛ";"2379009"
"ttk131001232";"974807";"131001232";"Активен";" 0";"Ф/Л Саранск 'ТТК-30', 55Мб, 400 руб.";"ФЛ";"2379014"
"ttk131001243";"974808";"131001243";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай (до 01.07.14)', 45Мб, 400 руб. ";"ФЛ";"2379029"
"ttk131001246";"974819";"131001246";"Активен";" 0";"Ф/Л Саранск 'ТТК-Зажигай', 100Мб, 550 руб. ";"ФЛ";"2379039"
"ttk131001240";"974821";"131001240";"Активен";" 0";"Ф/Л Саранск 'ТТК-30', 55Мб, 400 руб.";"ФЛ";"2379020"
"ttk131001285";"974822";"131001285";"Активен";" 0";"Ф/Л Саранск ""Экономный"", 60Мб, 250 руб.";"ФЛ";"2379041"
"ttk131001254";"974828";"131001254";"Активен";" 0";"Ф/Л Саранск 'Бумбокс-333', 55Мб, 400 руб.";"ФЛ";"2375658"
"ttk131001264";"974829";"131001264";"Приостановлен системой";" 2";"Ф/Л Саранск  'ТТК-Мечтай', 30Мб, 400 руб.";"ФЛ";"2375638"
"ttk131001283";"974830";"131001283";"Активен";" 0";"Ф/Л Саранск  'ТТК-Мечтай (30 дней)', 30Мб, 399 руб.";"ФЛ";"2377821"
"ttk131001258";"974831";"131001258";"Активен";" 0";"Ф/Л Саранск 'ТТК-Качай (до 01.07.14)', 75Мб, 500 руб. ";"ФЛ";"2378233"
